Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File	Factor Value[Batch]	Term Source REF	Term Accession Number	Factor Value[Primary_Group]	Term Source REF	Term Accession Number	Factor Value[Media]	Term Source REF	Term Accession Number
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000553	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												20-3.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 3 min after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000554	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												22-9.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 9 h after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000555	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												24-18.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 18 min after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000556	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												26-3.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 3 min after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000557	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												28-9.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 9 h after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000558	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												30-18.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 18 min after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000559	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												32-3.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 3 min after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000560	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												34-9.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 9 h after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000561	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												36-18.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 18 min after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000562	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												38-3.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 3 min after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000563	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												40-9.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 9 h after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000564	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												42-18.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 18 min after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000565	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												44-3.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 3 min after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000566	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												46-9.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 9 h after wetting			NA		
					Chromatography	Agilent instrument model	MS	http://purl.obolibrary.org/obo/MS_1000567	"Merck SeQuant ZIC-HILIC column, 150’ã1 mm, 3.5 Îµm, 100 ’Ä"	ZIC-HILIC					Mass spectrometry	alternating												48-18.d				Metabolite identification		m_metabolites_detected.txt	140611-Crust-Porewater-fps			Biological soil crust porewater sampled 18 min after wetting			NA		
